ID,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説
1,"Wordなどの画面左上にあり、よく使うボタンを自由に登録して配置できる場所を何と呼ぶか。","タイトルバー","リボン","クイックアクセスツールバー","ステータスバー",,3,"頻繁に使う機能を登録してすぐに実行するためのバーです。"
2,"Wordなどの画面最上部にあり、現在開いているファイル名が表示される場所を何と呼ぶか。","リボン","タイトルバー","ステータスバー","スクロールバー",,2,"現在編集中の文書の名前を確認できる場所です。"
3,"Wordなどの画面上部にあり、タブごとに機能がグループ分けされている部分を何と呼ぶか。","クイックアクセスツールバー","タイトルバー","ステータスバー","リボン",,4,"多くのコマンドが視覚的に分類されて配置されている帯状のエリアです。"
4,"Wordなどの画面の右側や下側にあり、隠れている部分を表示するために画面を動かすバーを何と呼ぶか。","スクロールバー","ステータスバー","ズームスライダー","リボン",,1,"上下左右に画面をスライドさせるための操作パーツです。"
5,"Wordなどの画面最下部にあり、ページ数や文字数などがリアルタイムに表示される場所を何と呼ぶか。","リボン","タイトルバー","ステータスバー","スクロールバー",,3,"作業の進捗や統計情報が示されるバーです。"
6,"Wordなどの画面右下にあり、スライダーを動かして画面の表示倍率を変更できる機能を何と呼ぶか。","スクロールバー","ズームスライダー","ステータスバー","タイトルバー",,2,"表示の拡大・縮小を直感的に行える機能です。"
7,"キーボードのキーの位置を覚える数が少なく、早く慣れやすい日本語入力方式はどれか。","かな入力","手書き入力","音声入力","ローマ字入力",,4,"アルファベットを組み合わせて入力する、最も一般的な方式です。"
8,"キーボードに刻印された「あ」「い」などの文字を直接打ち込む入力方式はどれか。","かな入力","ローマ字入力","フリック入力","コード入力",,1,"JIS配列のキーに書かれた文字をそのまま入力する方式です。"
9,"Wordのホームタブにおいて、文字の書体や大きさ、太さなどを設定するグループはどれか。","スタイル","編集","フォント","段落",,3,"文字のデザインを調整するためのコマンドが集まっています。"
10,"Wordのホームタブにおいて、箇条書きや行揃えなどの設定を行うグループはどれか。","フォント","段落","編集","ページ設定",,2,"文章の配置や体裁を整えるためのコマンドが集まっています。"
11,"Wordなどの編集画面上で、入力されて一続きになっている文字の集まりを何と呼ぶか。","フォント","段落","書式","文字列",,4,"入力された文字が連なっている状態を指します。"
12,"入力した文字の色やサイズを変え、文書の見た目を整える設定操作を何と呼ぶか。","入力切替","ページ設定","書式設定","レイアウト",,3,"文字や段落の外観を調整する操作の名称です。"
